Epowers,Ep,ksigma,ksigma_fit
0.0,1.0,0.0,0.0
0.0006454923080882523,0.5826517583010045,3.028076849566356,2.2732722598422983
0.004277023425898172,-0.4495104638614835,10.414261355750751,10.02317521874354
0.004719543572446045,-0.5305400270332273,10.98343223741926,10.626968910323908
0.00909714298712173,-1.0600061977263107,14.613224790460292,14.763180623252856
0.01344187403986089,-1.4116842693347993,16.91773151336757,17.079729064624004
0.01896059941058613,-1.6666147211585276,18.450035545920514,18.885758055751037
0.02101937603827087,-1.7758874344130926,19.10999068712066,19.37450586455374
0.022335737104727926,-1.8219722764826032,19.36575481237533,19.650526896055784
0.026029715703921767,-1.984584288140621,20.30340423249743,20.30607921335217
0.02917012237740642,-2.071611121687096,20.74451366873753,20.75684193237343
0.0338523245243911,-2.14595605137466,21.025012624165797,21.298872430761982
0.03820738749745441,-2.288347585480679,21.771138458471235,21.7012959009438
0.04733370907740659,-2.448767560805044,22.414169859039742,22.333717950839112
0.05269608016472138,-2.5007737115373905,22.52311937328484,22.61447978154827
0.053790874615060366,-2.5244815427712624,22.630483968573746,22.66566955944231
0.05697639350179904,-2.555938760504408,22.70360162522429,22.80458475817976
0.06435487925718171,-2.6819401021181988,23.221060987946537,23.07842773982477
0.07909179437004267,-2.8140018288677062,23.55559797326783,23.484176924313587
0.08958910066880803,-2.894431281881639,23.769114213270736,23.697358152559573
0.1051813598911369,-3.011007935043064,24.172671306935452,23.94008799991322
0.11617812912435856,-3.086917775771949,24.5006337413731,24.07419824200771
