power (W),Integral (real),Integral (imag),Exp Num
1.5848931924611143e-11,0.99999999999999989,-0,5
0.00064549230808825229,0.57794113752189002,0.038822213177464572,6
0.0047195435724460451,-0.54645281596806672,0.01766499063112591,7
0.0090971429871217306,-1.0725090541762217,-0.010814863853038613,8
0.01344187403986089,-1.4141203961920714,-0.042322309614811586,9
0.018960599410586129,-1.6957896436864439,-0.078839293512310421,10
0.022335737104727926,-1.8420812985152706,-0.080903866362692325,11
0.026029715703921767,-1.97571340381877,-0.083899913799548753,12
0.029170122377406418,-2.0914052097534839,-0.11008907562819903,13
0.033852324524391103,-2.1860546327712824,-0.14689631268585765,14
0.038207387497454413,-2.2807125358726048,-0.15431995730721906,15
0.04733370907740659,-2.4709892163826366,-0.17681967881170155,16
0.053790874615060366,-2.5561101484437732,-0.16772781972099041,17
0.05697639350179904,-2.5764131327017239,-0.20305318931762115,18
0.06435487925718171,-2.6755939128591191,-0.19901089572423822,19
0.07909179437004267,-2.8153300703866364,-0.23142532037700078,20
0.089589100668808028,-2.897475156648714,-0.20098035454254284,21
0.1051813598911369,-3.0042154567120845,-0.22602199805021442,22
0.11617812912435856,-3.087886507216512,-0.24779317062545339,23
0.052696080164721382,-2.5184316153191157,-0.28393211130913021,24
0.021019376038270868,-1.7718400680807631,-0.1850033218600502,25
0.0042770234258981722,-0.46887186130222519,-0.052390264865049024,26
"
"
