integrationVal,error,expNum
(-3.77565022264+0.375204606046j),0.15444165539504703,5
(-2.19666985776+0.0702670789947j),0.10446411257860892,6
(2.05658671042-0.271728439347j),0.096100126121108881,7
(4.05347683592-0.361577194038j),0.16274515194770575,8
(5.35510351423-0.370790248435j),0.21396174432523629,9
(6.4322894118-0.338598489093j),0.25051883784532786,10
(6.98541016817-0.385692686869j),0.26819081578070991,11
(7.49108238711-0.424520041123j),0.28919755811163383,12
(7.93772047409-0.369047024902j),0.30871515775713365,13
(8.30889383406-0.265588671586j),0.32117695548535075,14
(8.66907435264-0.273075667361j),0.33065486017978035,15
(9.39593454291-0.259517275804j),0.36061903733549927,16
(9.71391010159-0.325782721384j),0.37232365353152436,17
(9.80382131001-0.200024255012j),0.37340930331305128,18
(10.1767765575-0.252499627264j),0.3880923823518207,19
(10.7165334532-0.182543747542j),0.40561145222358963,20
(11.0152614751-0.328314504303j),0.41675518231999914,21
(11.4276712527-0.273815469652j),0.43197233280619685,22
(11.7517525174-0.223008900613j),0.44536128175555512,23
(9.61524952506+0.1271011972j),0.36398255345519692,24
(6.75926244603+0.0337052786499j),0.26060559090679786,25
(1.78995321621+0.0218844331961j),0.082491492913008779,26
