Atomic Number,Symbol,Row,Column
1,H,0,0
2,He,0,17
3,Li,1,0
4,Be,1,1
5,B,1,12
6,C,1,13
7,N,1,14
8,O,1,15
9,F,1,16
10,Ne,1,17
11,Na,2,0
12,Mg,2,1
13,Al,2,12
14,Si,2,13
15,P,2,14
16,S,2,15
17,Cl,2,16
18,Ar,2,17
19,K,3,0
20,Ca,3,1
21,Sc,3,2
22,Ti,3,3
23,V,3,4
24,Cr,3,5
25,Mn,3,6
26,Fe,3,7
27,Co,3,8
28,Ni,3,9
29,Cu,3,10
30,Zn,3,11
31,Ga,3,12
32,Ge,3,13
33,As,3,14
34,Se,3,15
35,Br,3,16
36,Kr,3,17
37,Rb,4,0
38,Sr,4,1
39,Y,4,2
40,Zr,4,3
41,Nb,4,4
42,Mo,4,5
43,Tc,4,6
44,Ru,4,7
45,Rh,4,8
46,Pd,4,9
47,Ag,4,10
48,Cd,4,11
49,In,4,12
50,Sn,4,13
51,Sb,4,14
52,Te,4,15
53,I,4,16
54,Xe,4,17
55,Cs,5,0
56,Ba,5,1
57,La,5,2
58,Ce,7.5,3
59,Pr,7.5,4
60,Nd,7.5,5
61,Pm,7.5,6
62,Sm,7.5,7
63,Eu,7.5,8
64,Gd,7.5,9
65,Tb,7.5,10
66,Dy,7.5,11
67,Ho,7.5,12
68,Er,7.5,13
69,Tm,7.5,14
70,Yb,7.5,15
71,Lu,7.5,16
72,Hf,5,3
73,Ta,5,4
74,W,5,5
75,Re,5,6
76,Os,5,7
77,Ir,5,8
78,Pt,5,9
79,Au,5,10
80,Hg,5,11
81,Tl,5,12
82,Pb,5,13
83,Bi,5,14
84,Po,5,15
85,At,5,16
86,Rn,5,17
87,Fr,6,0
88,Ra,6,1
89,Ac,6,2
90,Th,8.5,3
91,Pa,8.5,4
92,U,8.5,5
93,Np,8.5,6
94,Pu,8.5,7
95,Am,8.5,8
96,Cm,8.5,9
97,Bk,8.5,10
98,Cf,8.5,11
99,Es,8.5,12
100,Fm,8.5,13
101,Md,8.5,14
102,No,8.5,15
103,Lr,8.5,16
104,Rf,6,3
105,Db,6,4
106,Sg,6,5
107,Bh,6,6
108,Hs,6,7
109,Mt,6,8
110,Ds,6,9
111,Rg,6,10
112,Cn,6,11
113,Nh,6,12
114,Fl,6,13
115,Mc,6,14
116,Lv,6,15
117,Ts,6,16
118,Og,6,17
